store,brand,name,model,screen_size,display_tech,refresh_rate,year,price,old_price,url,normalized_key
Tehnomarket,ZEUS,"ZEUS ZE32T2 32"" HD DVB-T2 FRAMELESS TV",ZE32T2,32,LED,0,0,5699,6999,https://tehnomarket.com.mk/product/29404419/zeus-ze32t2-32-hd-dvb-t2-frameless-tv,ZEUS_ZE32T2
Tehnomarket,FAVORIT,FAVORIT 32U20B-20D HD Led Smart TV Android 14,32U20B-20D,32,LED,0,0,5999,7999,https://tehnomarket.com.mk/product/29402187/favorit-32u20b-20d-hd-led-smart-tv-android-14,FAVORIT_32U20B20D
Tehnomarket,NEO,NEO 32HD14F25 HD TV SMART ANDROID 14,32HD14F25,32,LED,0,0,6199,7999,https://tehnomarket.com.mk/product/29403643/neo-32hd14f25-hd-tv-smart-android-14,NEO_32HD14F25
Tehnomarket,ZEUS,"ZEUS ZE32ST2 32"" HD ANDROID 14 SMART TV",ZE32ST2,32,LED,0,0,6199,7999,https://tehnomarket.com.mk/product/29404418/zeus-ze32st2-32-hd-android-14-smart-tv,ZEUS_ZE32ST2
Tehnomarket,VIVAX,VIVAX A SERIES 32LE10K HD READY LED АНДРОИД ТЕЛЕВИЗОР,32LE10K,32,LED,0,0,6999,8999,https://tehnomarket.com.mk/product/29398212/vivax-a-series-32le10k-hd-ready-led-android-televizor,VIVAX_32LE10K
Tehnomarket,VIVAX,VIVAX IMAGO LED TV-32LE21K HD ЛЕД ТЕЛЕВИЗОР ANDROID TV,IMAGO -32LE21K,0,LED,0,0,5991,9999,https://tehnomarket.com.mk/product/29402638/vivax-imago-led-tv-32le21k-hd-led-televizor-android-tv,VIVAX_IMAGO32LE21K
Tehnomarket,VIVAX,"VIVAX 32LE110WO 32"" HD SMART TV webOS",32LE110WO,32,LED,0,0,6499,9999,https://tehnomarket.com.mk/product/29403662/vivax-32le110wo-32-hd-smart-tv-webos,VIVAX_32LE110WO
Tehnomarket,VIVAX,"VIVAX 43LE110WO  43"" FHD SMART TV webOS",43LE110WO,43,LED,0,0,9499,9999,https://tehnomarket.com.mk/product/29403663/vivax-43le110wo-43-fhd-smart-tv-webos,VIVAX_43LE110WO
Tehnomarket,JVC,JVC LT-32VH4300 HD READY LED TV,LT-32VH4300,32,LED,0,0,6499,10999,https://tehnomarket.com.mk/product/29399778/jvc-lt-32vh4300-hd-ready-led-tv,JVC_LT32VH4300
Tehnomarket,JVC,"JVC LT-32VAH3300  32"" HD Smart Tv",LT-32VAH3300,32,LED,0,0,7999,10999,https://tehnomarket.com.mk/product/29402182/jvc-lt-32vah3300-32-hd-smart-tv,JVC_LT32VAH3300
