Brand,Model,Screen,Tech,Hz,Year,Setec (ден),Tehnomarket (ден),Neptun (ден),Galerija (ден),Stores,Min Price,Best Store
BAUTECH,32BHR45,"32""",LED,,,6999,,,,1,6999,Setec
BAUTECH,32BHR55,"32""",LED,,,7499,,,,1,7499,Setec
BAUTECH,43BFH80,"43""",LED,,,10999,,,,1,10999,Setec
FAVORIT,32U20B-20D,"32""",LED,,,,5999,,,1,5999,Tehnomarket
FAVORIT,43U20B-20D,"43""",LED,,,,9499,,,1,9499,Tehnomarket
FAVORIT,50U20B-20D,"50""",LED,,,,11999,,,1,11999,Tehnomarket
FAVORIT,55U20B-G1,"55""",LED,,,,15499,,,1,15499,Tehnomarket
FAVORIT,65U20B-G1,"65""",LED,,,,22999,,,1,22999,Tehnomarket
FAVORIT,75U20B-G1,"75""",LED,,,,32999,,,1,32999,Tehnomarket
FAVORIT,D50F135R-F,?,LED,,,,11291,,,1,11291,Tehnomarket
FUEGO,32 EL 720 GTV,"32""",LED,,,,,6499,,1,6499,Neptun
FUEGO,40 EL 720 GTV,"40""",LED,,,,,8499,,1,8499,Neptun
FUEGO,43 EL 720 GTV,"43""",LED,,,,,9999,,1,9999,Neptun
FUEGO,43 ELU 720 GTV,"43""",LED,,,,,10999,,1,10999,Neptun
FUEGO,50 ELU 720 GTV,"50""",LED,,,,,14499,,1,14499,Neptun
FUEGO,55 ELU 720 GTV,"55""",LED,,,,,16999,,1,16999,Neptun
FUEGO,55 ELU 820 GTV,"55""",QLED,,,,,18499,,1,18499,Neptun
FUEGO,55 CH844 GTV,"55""",LED,,,,,21999,,1,21999,Neptun
FUEGO,65 ELU 720 GTV,"65""",LED,,,,,21499,,1,21499,Neptun
FUEGO,65 ELU 820 GTV,"65""",QLED,,,,,25999,,1,25999,Neptun
FUEGO,75 HKU 720 GTV,"75""",LED,,,,,32999,,1,32999,Neptun
FUEGO,85 ELU 720 GTV,"85""",LED,,,,,51999,,1,51999,Neptun
